MacroF1 (5-seed mean),,,,,,,,,,,,,,,,,,
Dataset,Domain,erm,t3a,oftta,pl,tent,lame,shot,tsd,tast,tea,note,sotta,sar,eata,rotta,cotta,OURS
uci,0,91.57,91.57,92.52,87.97,88.88,92.46,88.65,87.99,91.05,88.77,87.45,90.19,91.01,88.25,87.84,90.08,89.66
uci,1,75.19,75.94,76.79,73.41,73.99,75.32,74.04,73.45,76.56,74.13,73.73,75.5,76.1,73.89,73.18,75.38,74.99
uci,2,93.87,94.77,95.5,92.8,93.69,95.28,93.52,92.83,94.18,93.62,93.59,95.12,93.44,93.57,92.71,95,94.59
uci,3,79.77,80.43,84.39,82.19,83.15,75.41,82.82,82.07,80.88,82.9,82.85,84.39,82.1,82.45,82,84.27,83.87
uci,4,78.91,88.86,88.47,77.15,77.28,83.76,78.09,77.33,88.73,78,77.14,79.67,89.21,78.01,77.25,79.53,78.8
oppo,S1,77.96,77.41,68.9,73.7,73.25,81.21,77.54,75.6,75.91,76.01,74.38,75.32,82.99,75.39,75.82,76.02,75.16
oppo,S2,70.24,72.56,71.58,67.24,67.35,71.49,69.67,68.71,71.73,68.87,67.56,68.08,75.01,68.16,68.44,68.79,67.95
oppo,S3,66.87,67.09,66.66,63.48,63.18,65.8,65.97,65.05,66.24,65.39,64.16,64.33,67.79,64.36,64.83,65.05,64.47
oppo,S4,72.09,75.84,73.84,67.39,67.39,74.2,70.74,69.32,72.3,69.53,68.01,68.78,77.48,68.96,69.21,69.48,68.5
pamap2,1,79.62,79.73,79.47,79.79,80.47,82.88,79.21,80.29,79.75,80.96,78.01,80.49,81.55,81.03,78.37,80.14,78.44
pamap2,2,77.17,86.98,86.99,84.25,84.61,80.64,83.63,84.71,82.01,85.17,83.66,84.98,85.42,85.26,82.86,84.6,82.34
pamap2,3,87.38,79.19,74.92,77.2,77.43,91.17,76.51,77.67,79.39,77.97,76.41,77.9,84.61,78.24,75.71,77.57,78.7
pamap2,4,84.7,84.92,84.49,82.22,82.53,87.41,81.51,82.63,85.44,83.02,81.45,82.88,87.82,83.2,80.76,82.47,77.97
pamap2,5,81.13,85.11,82.48,81.16,81.52,85.67,80.45,81.52,82.23,82.05,78.64,81.77,85.24,82.18,79.56,81.36,79.98
,,,,,,,,,,,,,,,,,,
BalAcc (5-seed mean),,,,,,,,,,,,,,,,,,
Dataset,Domain,erm,t3a,oftta,pl,tent,lame,shot,tsd,tast,tea,note,sotta,sar,eata,rotta,cotta,OURS
uci,0,91.41,91.13,90.69,88.97,88.51,92.31,90.16,88.52,90.49,88.29,87.35,88.69,91.34,89.85,88.28,88.63,89.13
uci,1,75.08,76.11,75.6,75.17,74.46,75.97,76.33,74.74,76.58,74.42,74.39,74.75,77.32,76.18,74.36,74.67,75.22
uci,2,93.66,94.17,93.57,93.57,93.18,94.94,94.8,93.13,93.41,92.91,93.27,93.4,93.71,94.82,92.95,93.28,93.84
uci,3,79.62,80.07,82.6,83.23,82.79,75.33,84.36,82.65,80.38,82.48,82.81,82.93,82.75,83.99,82.54,82.82,83.41
uci,4,78.78,88.32,86.61,78.7,77.54,83.87,80.11,78.4,88.01,78.09,77.94,78.67,89.65,80.1,78.24,78.62,78.83
oppo,S1,79.53,78.23,70.61,75.46,75.83,82.27,78.57,76.52,77.96,76.09,75.04,77.06,84.51,76.3,77.48,76.9,76.47
oppo,S2,71.68,73.48,73.62,69.55,70.44,73.21,71.26,70.3,74.31,69.69,68.98,70.5,77.32,69.78,70.99,70.35,69.87
oppo,S3,68.43,67.68,68.27,65.22,65.74,66.9,66.96,65.93,68.24,65.47,65.06,66.18,69.65,65.57,66.55,66,65.84
oppo,S4,73.89,77.25,75.89,69.61,70.32,75.87,72.26,70.73,74.9,70.17,69.4,71.06,79.68,70.39,71.49,70.81,70.11
pamap2,1,81.48,79.4,80.84,80.19,81.81,81.76,80.25,79.2,79.58,81.86,77.81,80.52,83.78,81.01,81.47,79.36,79.87
pamap2,2,78.84,86.29,87.92,84.27,85.62,79.24,84.32,83.25,81.56,85.72,82.93,84.61,87.37,84.9,85.5,83.45,83.17
pamap2,3,89.39,85.71,85.58,87.25,88.52,89.73,87.24,86.22,85.96,88.61,85.93,87.55,90.36,87.9,88.47,86.46,87.09
pamap2,4,86.71,87.76,88.93,85.52,86.85,86,85.52,84.49,88.37,86.92,84,85.82,89.83,86.12,86.76,84.73,84.92
pamap2,5,82.9,84.57,83.69,81.39,82.76,84.09,81.36,80.35,81.95,82.82,78.34,81.67,87,82.01,82.64,80.59,81.37
