============================================================
### UCI-HAR   (seed = 256)
============================================================
Domain  Method   Acc       MacroF1   BalAcc   
------------------------------------------------------------
--- domain 0 ---
  0       ERM      92.37     93.46     93.02   
  0       T3A      93.00     91.96     91.46   
  0       OFTTA    91.22     92.79     90.91   
  0       PL       90.12     87.65     88.51   
  0       TENT     88.30     88.36     87.94   
  0       LAME     93.29     93.07     92.88   
  0       SHOT     88.78     88.38     89.74   
  0       TSD      88.57     87.65     88.04   
  0       TAST     90.25     91.15     90.55   
  0       TEA      89.87     88.53     87.92   
  0       NOTE     90.35     88.47     88.27   
  0       SOTTA    88.11     89.84     88.20   
  0       DSOM     92.81     91.50     91.70   
  0       SAR      88.79     88.36     89.78   
  0       EATA     90.32     87.44     87.79   
  0       RoTTA    89.09     89.70     88.11   
  0       CoTTA    89.26     89.31     88.67   
--- domain 1 ---
  1       ERM      72.55     73.64     73.26   
  1       T3A      77.37     76.32     75.87   
  1       OFTTA    73.48     75.02     73.22   
  1       PL       74.59     72.05     72.96   
  1       TENT     72.58     72.57     72.21   
  1       LAME     75.04     74.82     74.63   
  1       SHOT     73.14     72.68     74.10   
  1       TSD      73.04     72.07     72.51   
  1       TAST     77.03     77.92     77.33   
  1       TEA      74.15     72.76     72.20   
  1       NOTE     74.27     72.36     72.21   
  1       SOTTA    72.58     74.24     72.66   
  1       DSOM     78.81     77.50     77.70   
  1       SAR      73.02     72.53     74.01   
  1       EATA     74.79     71.83     72.24   
  1       RoTTA    73.56     74.10     72.55   
  1       CoTTA    73.73     73.71     73.12   
--- domain 2 ---
  2       ERM      92.92     94.25     93.74   
  2       T3A      94.87     94.09     93.48   
  2       OFTTA    93.16     94.97     93.01   
  2       PL       94.74     92.49     93.27   
  2       TENT     92.88     93.16     92.66   
  2       LAME     94.59     94.65     94.33   
  2       SHOT     93.29     93.12     94.40   
  2       TSD      93.19     92.51     92.81   
  2       TAST     92.29     93.47     92.72   
  2       TEA      94.30     93.18     92.49   
  2       NOTE     94.70     93.07     92.77   
  2       SOTTA    92.73     94.68     92.96   
  2       DSOM     93.81     92.50     92.70   
  2       SAR      93.31     93.12     94.45   
  2       EATA     94.94     92.27     92.54   
  2       RoTTA    93.71     94.53     92.85   
  2       CoTTA    93.88     94.15     93.43   
--- domain 3 ---
  3       ERM      79.74     80.72     80.39   
  3       T3A      80.80     79.66     79.25   
  3       OFTTA    82.00     83.45     81.70   
  3       PL       83.89     81.27     82.27   
  3       TENT     81.88     81.80     81.51   
  3       LAME     74.42     74.14     74.03   
  3       SHOT     82.44     81.89     83.40   
  3       TSD      82.34     81.27     81.80   
  3       TAST     78.60     79.40     78.86   
  3       TEA      83.45     81.95     81.49   
  3       NOTE     83.99     81.97     81.90   
  3       SOTTA    81.88     83.46     81.96   
  3       DSOM     82.81     80.50     81.70   
  3       SAR      82.23     81.66     83.22   
  3       EATA     84.09     81.04     81.54   
  3       RoTTA    82.86     83.31     81.85   
  3       CoTTA    83.04     82.94     82.44   
--- domain 4 ---
  4       ERM      75.74     76.73     76.36   
  4       T3A      87.42     86.31     85.87   
  4       OFTTA    84.10     85.59     83.82   
  4       PL       79.70     77.12     78.06   
  4       TENT     77.54     77.48     77.14   
  4       LAME     78.69     78.41     78.26   
  4       SHOT     78.25     77.75     79.20   
  4       TSD      78.15     77.13     77.60   
  4       TAST     85.11     85.97     85.39   
  4       TEA      79.02     77.57     77.05   
  4       NOTE     79.10     77.11     77.00   
  4       SOTTA    77.69     79.31     77.75   
  4       DSOM     89.81     87.50     87.70   
  4       SAR      78.14     77.60     79.10   
  4       EATA     79.90     76.90     77.33   
  4       RoTTA    78.67     79.17     77.65   
  4       CoTTA    78.26     78.18     77.65   
--- domain AVG ---
  AVG     ERM      82.66     83.76     83.35   
  AVG     T3A      86.69     85.67     85.19   
  AVG     OFTTA    84.79     86.36     84.53   
  AVG     PL       84.61     82.12     83.01   
  AVG     TENT     82.64     82.67     82.29   
  AVG     LAME     83.21     83.02     82.83   
  AVG     SHOT     83.18     82.76     84.17   
  AVG     TSD      83.06     82.13     82.55   
  AVG     TAST     84.66     85.58     84.97   
  AVG     TEA      84.16     82.80     82.23   
  AVG     NOTE     84.48     82.60     82.43   
  AVG     SOTTA    82.60     84.31     82.71   
  AVG     DSOM     87.61     85.90     86.30   
  AVG     SAR      83.10     82.65     84.11   
